[11-Dec-2016 22:58:31 UTC] PHP  19. Illuminate\Routing\Route->signatureParameters() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:857
[11-Dec-2016 22:58:31 UTC] PHP  20. ReflectionMethod->__construct() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:58:31 UTC] PHP  21. spl_autoload_call() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:58:31 UTC] PHP  22. Composer\Autoload\ClassLoader->loadClass() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:58:31 UTC] PHP  23. Composer\Autoload\includeFile() /home/ubuntu/workspace/project/vendor/composer/ClassLoader.php:301
[11-Dec-2016 22:59:14 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\AdminController::edit() in /home/ubuntu/workspace/project/app/Http/Controllers/AdminController.php on line 125
[11-Dec-2016 22:59:14 UTC] PHP Stack trace:
[11-Dec-2016 22:59:14 UTC] PHP   1. {main}() /home/ubuntu/workspace/project/public/index.php:0
[11-Dec-2016 22:59:14 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/project/public/index.php:54
[11-Dec-2016 22:59:14 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[11-Dec-2016 22:59:14 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[11-Dec-2016 22:59:14 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
